perl-xml-libxml 2.0209-1
perl-xml-libxml-simple 1.01-2
perl-xml-libxslt 2.002001-2
perl-xml-namespacesupport 1.12-5
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-5
perl-xml-writer 0.900-2
perl-yaml-tiny 1.74-2
picom 11.2-1
pinentry 1.2.1-3
pipewire 1:1.0.3-1
pipewire-alsa 1:1.0.3-1
pipewire-audio 1:1.0.3-1
pipewire-jack 1:1.0.3-1
pipewire-pulse 1:1.0.3-1
pixman 0.43.4-1
pkgconf 2.1.0-2
playerctl 2.4.1-3
polkit 124-2
polkit-gnome 0.105-10
poppler 24.01.0-1
poppler-data 0.4.12-1
poppler-glib 24.01.0-1
poppler-qt5 24.01.0-1
popt 1.19-1
portaudio 1:19.7.0-2
postgresql-libs 16.1-5
potrace 1.16-2
procps-ng 4.0.4-2
prrte 3.0.4-3
psmisc 23.6-1
python 3.11.8-1
python-appdirs 1.4.4-9
python-beautifulsoup4 4.12.2-1
python-cachecontrol 1:0.14.0-2
python-cairo 1.26.0-1
python-certifi 2024.02.02-1
python-chardet 5.2.0-1
python-charset-normalizer 3.3.2-1
python-coverage 7.4.1-1
python-cssselect 1.2.0-3
python-filelock 3.13.1-1
python-gobject 3.46.0-1
python-greenlet 3.0.3-1
python-idna 3.6-1
python-lockfile 0.12.2-12
python-lxml 4.9.2-3
python-mako 1.3.2-1
python-markdown 3.5.2-1
python-markupsafe 2.1.4-1
python-msgpack 1.0.5-1
python-numpy 1.26.4-1
python-packaging 23.2-1
python-pillow 10.2.0-2
python-pygments 2.17.2-1
python-pynvim 0.5.0-2
python-pyserial 3.5-5
python-requests 2.31.0-1
python-six 1.16.0-8
python-soupsieve 2.5-1
python-tqdm 4.66.2-1
python-typing_extensions 4.10.0-1
python-urllib3 1.26.18-1
python-yaml 6.0.1-2
python-zstandard 0.22.0-1
qpdfview 0.5.0-2
qt5-base 5.15.12+kde+r151-1
qt5-declarative 5.15.12+kde+r32-1
qt5-graphicaleffects 5.15.12-1
qt5-location 5.15.12+kde+r6-1
qt5-quickcontrols2 5.15.12+kde+r5-1
qt5-sensors 5.15.12-1
qt5-svg 5.15.12+kde+r6-1
qt5-translations 5.15.12-1
qt5-webchannel 5.15.12+kde+r3-1
qt5-webengine 5.15.16-3
qt5-xmlpatterns 5.15.12-1
qt6-5compat 6.6.2-1
qt6-base 6.6.2-4
qt6-declarative 6.6.2-1
qt6-svg 6.6.2-1
qt6-translations 6.6.2-1
qt6-wayland 6.6.2-1
r 4.3.3-2
ragel 6.10-3
raptor 2.0.16-4
rasqal 1:0.9.33-7
rav1e 0.7.1-1
readline 8.2.010-1
redland 1:1.0.17-8
rhash 1.4.4-1
ripgrep 14.1.0-1
rofi 1.7.5-2
rstudio-desktop-bin 2023.12.0.369-1
rtkit 0.13-2
rubberband 3.3.0-1
rust 1:1.76.0-1
sbc 2.0-1
scdoc 1.11.3-1
scour 0.38.2-3
sdbus-cpp 1.5.0-3
sddm 0.21.0-4
sddm-theme-tokyo-night r6.320c8e7-1
sdl2 2.30.1-1
seatd 0.8.0-1
sed 4.9-3
semver 7.6.0-1
serd 0.32.2-1
shaderc 2023.8-1
shadow 4.14.6-1
shared-mime-info 2.4-1
slang 2.3.3-2
slurp 1.5.0-1
snappy 1.1.10-1
sndio 1.9.0-1
soci 4.0.3-1
soci-debug 4.0.3-1
sof-firmware 2023.12.1-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-11
spdlog 1.13.0-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.6-1
sqlite 3.45.1-1
sratom 0.6.16-1
srt 1.5.3-1
starship 1.17.1-1
startup-notification 0.12-8
sudo 1.9.15.p5-1
svt-av1 1.8.0-1
swappy 1.5.1-1
swaybg 1.2.0-1
swaylock-effects 1.7.0.0-4
swaylock-effects-debug 1.7.0.0-4
systemd 255.4-2
systemd-libs 255.4-2
systemd-sysvcompat 255.4-2
t1lib 5.1.2-8
tar 1.35-2
